Title,Brand,Price,Condition,Retail_Price,Volume,Exterior_Color,Exterior_Material,Interior_Color,Interior_Material,Accessories,Ac_Count
Hermes Evelyne Crossbody Gen III Epsom PM,Hermes,2910.0,Great,3375.0,379.5,Pink,Leather,Pink,Raw Leather,"['Dust bag', 'Detachable Strap']",2.0
Chanel Vintage Trapezoid CC Flap Bag Leather Small,Chanel,1640.0,Very Good,,189.0,Black,Leather,Red,Leather,"['Authenticity card', 'Pochette']",2.0
Saint Laurent Classic Monogram Crossbody Bag Grainy Leather Medium,Saint Laurent,1265.0,Good,1990.0,114.0,White,Grainy Leather,Black,"Fabric, Leather",['Dust bag'],1.0
Chanel Vintage Classic Double Flap Bag Quilted Lambskin Small,,,,,,,,,,,
Saint Laurent Classic Monogram Envelope Satchel Mixed Matelasse Leather Small,,,,,,,,,,,
Louis Vuitton Neverfull Tote Damier MM,,,,,,,,,,,
Chanel Deauville Tote Denim with Sequins Large,Chanel,3515.0,Great,,1309.0,Blue,Denim,Blue,Fabric,"['Dust bag', 'Authenticity card']",2.0
Chanel Space Charms Reissue 2.55 Flap Bag Quilted Canvas 226,,,,,,,,,,,
Christian Dior My ABCDior Lady Dior Bag Cannage Quilt Lambskin,,,,,,,,,,,
Chanel Boy Flap Bag Braided Chevron Cording and Calfskin Old Medium,,,,,,,,,,,
Louis Vuitton Montsouris Backpack Monogram Canvas MM,Louis Vuitton,1360.0,Fair,,600.0,Brown,Canvas (Coated),Brown,Fabric,['No accessories'],0.0
Christian Dior Vintage Double Saddle Bag Printed Nylon,Christian Dior,1755.0,Fair,,154.0,"Brown, Print",Nylon,Brown,Nylon,['No accessories'],0.0
Fendi Selleria Baguette NM Bag Leather Medium,Fendi,2495.0,Great,,165.0,Neutral,Leather,Green,Leather,"['Extra Strap', 'Dust bag', 'Detachable Strap']",3.0
Chanel Coco Splash Shopping Tote Quilted PVC With Lambskin Medium,Chanel,2620.0,Great,3700.0,937.75,"Blue, Clear","Leather, Pvc","Blue, Clear","Leather, Pvc",['Authenticity card'],1.0
Chanel Vintage Full Flap Bag Quilted Lambskin Medium,Chanel,2845.0,Very Good,,104.5,Black,Leather,Red,Leather,['Authenticity card'],1.0
Saint Laurent Classic Monogram Envelope Satchel Quilted Leather Medium,Saint Laurent,2365.0,Very Good,,166.25,Black,Leather,Black,"Fabric, Leather",['No accessories'],0.0
Chanel Classic Double Flap Bag Chevron Lambskin Medium,Chanel,5255.0,Very Good,6800.0,180.0,Yellow,Leather,Yellow,Leather,"['Dust bag', 'Authenticity card']",2.0
Gucci Vintage Pochette Shoulder Bag GG Canvas Small,Gucci,515.0,Very Good,,54.0,Black,Canvas Plain,Black,Fabric,['No accessories'],0.0
Fendi Vintage Flap Crossbody Bag Zucchino Canvas Small,,,,,,,,,,,
Chanel Vintage Classic Double Flap Bag Quilted Lambskin Medium,Chanel,5500.0,Great,6800.0,195.0,Black,Leather,Red,Leather,['Authenticity card'],1.0
Louis Vuitton Croisette Handbag Damier,,,,,,,,,,,
Louis Vuitton Grenelle Pochette Epi Leather,Louis Vuitton,3635.0,Great,,162.0,White,Leather,Red,Microfiber,"['Dust bag', 'Extra Strap']",2.0
Chanel French Riviera Flap Bag Quilted Caviar Large,Chanel,3540.0,Great,,300.0,Red,Leather,Gray,Fabric,['Dust bag'],1.0
Louis Vuitton Artsy Handbag Monogram Empreinte Leather MM,Louis Vuitton,2690.0,Very Good,3500.0,1560.0,Blue,Leather,Blue,Fabric,"['Charms', 'Box', 'Dust bag']",3.0
Celine Trotteur Crossbody Bag Grainy Leather Small,,,,,,,,,,,
Saint Laurent Sac de Jour Bag Leather Small,Saint Laurent,1510.0,Great,2890.0,750.0,Gray,Leather,Black,Leather,"['Clochette', 'Keys missing', 'Lock', 'Dust bag', 'Detachable Strap']",5.0
Louis Vuitton Palm Springs Backpack Monogram Canvas Mini,Louis Vuitton,2385.0,Great,,178.5,Brown,Canvas (Coated),Black,Fabric,['Detachable Strap'],1.0
Gucci GG Marmont Shoulder Bag Matelasse Leather Small,,,,,,,,,,,
Gucci Padlock Chain Tote GG Coated Canvas Small,,,,,,,,,,,
Chanel Tricolor Reissue 2.55 Flap Bag Quilted Grosgrain Satin 227,Chanel,2085.0,Great,3000.0,270.0,"Gray, Silver, White",Satin,Black,Fabric,['Authenticity card'],1.0
Louis Vuitton Dauphine Shoulder Bag Taurillon Leather Mini,Louis Vuitton,2425.0,Great,3450.0,192.0,Brown,Leather,Black,Microfiber,"['Dust bag', 'Detachable Strap']",2.0
Prada Camera Shoulder Bag Saffiano Leather Small,Prada,790.0,Great,,48.0,Yellow,Leather,Gold,Fabric,"['Dust bag', 'Detachable Strap']",2.0
Christian Dior New Lock Flap Bag Cannage Quilt Patent Small,Christian Dior,820.0,Great,2400.0,341.25,Black,Patent Leather,Black,Fabric,"['Clochette', 'Keys']",2.0
Chanel Vintage Classic Top Handle Flap Bag Caviar Jumbo,Chanel,3210.0,Great,,540.0,Brown,Leather,Brown,Leather,['No accessories'],0.0
Prada Braided Handle Hobo Tessuto with Leather Large,Prada,425.0,Good,,1168.75,Black,"Leather, Nylon",Black,Fabric,['Luggage Tag'],1.0
Louis Vuitton Multi Pochette Accessoires Monogram Canvas,Louis Vuitton,2995.0,Great,,95.0,Brown,Canvas Coated,Brown,Fabric,"['Extra Bag', 'Extra Strap', 'Pochette', 'Dust bag', 'Detachable Strap']",5.0
Saint Laurent Classic Monogram Wallet on Chain Matelasse Chevron Leather Small,Saint Laurent,1225.0,Great,1350.0,56.25,Red,Leather,Black,Fabric,"['Box', 'Dust bag', 'Detachable Strap']",3.0
Fendi Logo Shopper Tote Leather,Fendi,680.0,Great,1300.0,942.5,Neutral,Leather,Neutral,Raw Leather,['Pochette'],1.0
Saint Laurent Lou Belt Bag Leather,,,,,,,,,,,
Chanel Coco Sailor Medallion Flap Bag Quilted Jersey and Lambskin Jumbo,Chanel,2365.0,Very Good,3200.0,258.75,"Blue, White, Multicolor","Leather, Jersey",Red,Fabric,"['Pochette', 'Dust bag', 'Authenticity card']",3.0
Chanel Vintage Backpack Caviar Medium,Chanel,2635.0,Very Good,,484.0,Black,Leather,Black,Fabric,['No Accessories'],1.0
Chanel Deauville Tote Canvas Small,Chanel,2010.0,Good,2400.0,810.0,Pink,Canvas (Plain),Red,Fabric,['Authenticity card'],1.0
Chanel Gabrielle Hobo Shearling and Leather Medium,Chanel,2885.0,Excellent,4100.0,223.125,Black,"Fur, Leather",Black,Fabric,['Authenticity card'],1.0
Chanel Vintage Mademoiselle Chain Messenger Quilted Tweed with Leather Medium,Chanel,1520.0,Very Good,3950.0,150.0,"Neutral, Multicolor","Leather, Tweed",Pink,Leather,['Authenticity card'],1.0
Chanel Reissue 2.55 Waist Bag Quilted Aged Calfskin,Chanel,2520.0,Excellent,2900.0,52.0,Red,Leather,Red,Leather,['Authenticity card'],1.0
Mulberry Leighton Shoulder Bag Leather Medium,Mulberry,800.0,Great,1465.0,687.5,Blue,Leather,Brown,Suede,"['Dust bag', 'Detachable Strap']",2.0
Chanel PVC Chain Fantasy Square Bag Tweed Small,Chanel,1990.0,Excellent,2200.0,202.5,Pink,"Pvc, Tweed",Pink,Leather,['No accessories'],0.0
Gucci Dionysus Bag GG Coated Canvas Super Mini,Gucci,1050.0,Excellent,,39.0,Brown,"Canvas (Coated), Suede",Neutral,Microfiber,"['Dust bag', 'Detachable Strap']",2.0
Chanel Wallet on Chain Quilted Lambskin,Chanel,2490.0,Very Good,2650.0,37.5,Black,Leather,Red,"Fabric, Leather","['Authenticity card', 'Box', 'Dust bag']",3.0
Gucci GG Marmont Flap Bag Matelasse Velvet Small,Gucci,1540.0,Great,1890.0,106.25,Purple,Velvet,Pink,Satin,['No accessories'],0.0
Chanel Vintage Front Pocket CC Camera Bag Caviar Medium,Chanel,2535.0,Very Good,,264.0,Black,Leather,Black,Leather,['Authenticity card'],1.0
Chanel Boy Shopping Tote Chevron Denim,Chanel,2240.0,Great,3300.0,840.0,Blue,Denim,Blue,Fabric,['Authenticity card'],1.0
Louis Vuitton Turenne Handbag Monogram Canvas PM,Louis Vuitton,2025.0,,,384.75,Brown,Canvas (Coated),Brown,Fabric,['Detachable Strap'],1.0
Bottega Veneta The Pouch Intrecciato Nappa 20,Bottega Veneta,1085.0,Very Good,1690.0,101.25,Pink,Leather,Pink,Leather,['Dust bag'],1.0
Chloe Faye Backpack Leather and Suede Mini,,,,,,,,,,,
Saint Laurent LouLou Shoulder Bag Matelasse Chevron Leather Toy,Saint Laurent,1495.0,Great,,123.75,Pink,Leather,Black,Fabric,"['Dust bag', 'Detachable Strap']",2.0
Louis Vuitton Montaigne Handbag Monogram Empreinte Leather MM,Louis Vuitton,2880.0,Excellent,3400.0,655.5,Red,Leather,Red,"Fabric, Leather","['Clochette', 'Keys', 'Lock', 'Poignet', 'Detachable Strap']",5.0
Chanel Business Affinity Camera Case Bag Quilted Caviar Small,Chanel,2980.0,Very Good,,116.875,Pink,Leather,Pink,Leather,"['Box', 'Dust bag', 'Authenticity card']",3.0
Christian Dior Book Tote Houndstooth Canvas Small,Christian Dior,2890.0,Excellent,,588.0,Black,Canvas Plain,Black,Canvas Plain,['No accessories'],0.0
Hermes Lindy Bag Clemence 30,Hermes,4545.0,Good,8200.0,714.0,Yellow,Leather,Yellow,Leather,['Dust bag'],1.0
Chanel Vintage CC Chain Flap Bag Vertical Quilt Lambskin Medium,Chanel,4440.0,Great,,185.25,Gold,Leather,Gold,Leather,"['Authenticity card', 'Box', 'Dust bag']",3.0
Chloe Drew Crossbody Bag Leather Nano,Chloe,595.0,Great,1190.0,75.0,"Brown, Neutral, Multicolor",Leather,Neutral,Suede,['No accessories'],0.0
Chanel Ribbon Vanity Case Quilted Grosgrain Medium,,,,,,,,,,,
Christian Dior Saddle Handbag Leather Mini,Christian Dior,3265.0,Excellent,,91.0,Pink,Leather,Pink,"Microfiber, Suede",['Box'],1.0
Saint Laurent LouLou Shoulder Bag Matelasse Chevron Leather Toy,Saint Laurent,1415.0,Great,,103.125,Neutral,Leather,Black,Fabric,"['Dust bag', 'Detachable Strap']",2.0
Gucci GG Marmont Chain Flap Bag Matelasse Velvet Mini,,,,,,,,,,,
Fendi Baguette NM Bag Zucca Embossed Velvet Mini,Fendi,2230.0,Excellent,,80.0,Purple,Velvet,Black,Fabric,['Dust bag'],1.0
Christian Dior Lady Dior Bag Cannage Quilt Lambskin Large,Christian Dior,3390.0,Excellent,5000.0,625.0,Print,Leather,Gray,Fabric,"['Dust bag', 'Detachable Strap']",2.0
Chanel Vintage Classic Double Flap Bag Quilted Lambskin Medium,Chanel,4795.0,Very Good,6800.0,162.5,Black,Leather,Red,Leather,['No accessories'],0.0
Saint Laurent Sunset Chain Wallet Leather,Saint Laurent,1660.0,Very Good,,97.5,Neutral,Leather,Neutral,Leather,"['Box', 'Dust bag']",2.0
Christian Dior My Lady Dior Bag Cannage Quilted Leather,Christian Dior,4275.0,Excellent,,196.0,Silver,Leather,Blue,Leather,"['Pins', 'Dust bag', 'Detachable Strap']",3.0
Chanel Ultimate Soft Hobo Leather Large,Chanel,1580.0,Good,2250.0,1069.5,Black,Leather,Black,Fabric,['No accessories'],0.0
Hermes Kelly Handbag Blue Togo with Palladium Hardware 28,,,,,,,,,,,
Gucci Petite GG Marmont Chain Wallet Leather Mini,Gucci,875.0,Good,,60.0,Neutral,Leather,Brown,Fabric,"['Dust bag', 'Detachable Strap']",2.0
Louis Vuitton Neverfull Tote Damier MM,Louis Vuitton,1335.0,Good,,825.0,Brown,Canvas (Coated),Red,Fabric,['Dust bag'],1.0
Chanel Classic Single Flap Bag Quilted Patent Medium,Chanel,3105.0,Great,3500.0,100.0,Black,Patent Leather,Black,Fabric,['Authenticity card'],1.0
Prada Chain Wallet Crossbody Quilted Tessuto,Prada,565.0,Excellent,790.0,26.0,Blue,Fabric,Blue,Leather,['Detachable Strap'],1.0
Gucci Belt Bag Printed GG Coated Canvas,Gucci,835.0,Great,,120.0,"Brown, Multicolor",Canvas Coated,Purple,Fabric,['No accessories'],0.0
Gucci GG Marmont Top Handle Bag Leather Small,Gucci,1560.0,Very Good,2500.0,618.75,Black,Leather,Neutral,Fabric,['Detachable Strap'],1.0
Prada Esplanade Crossbody Bag Saffiano Leather Small,Prada,915.0,Great,1650.0,178.5,"Black, Green",Leather,Black,Leather,"['Clochette', 'Keys', 'Lock', 'Dust bag', 'Detachable Strap']",5.0
Celine Phantom Bag Grainy Leather Medium,Celine,965.0,Fair,3100.0,1320.0,Neutral,Grainy Leather,Neutral,Suede,['No accessories'],0.0
Gucci Animalier Crossbody Bag Leather,,,,,,,,,,,
Chanel Resin Modern Chain Flap Bag Lambskin Medium,Chanel,1280.0,Good,2680.0,510.0,White,Leather,Gray,Satin,"['Authenticity card', 'Box']",2.0
Chanel Filigree Round Clutch with Chain Quilted Caviar Mini,Chanel,2590.0,Excellent,,60.0,Black,Leather,Black,Fabric,['No accessories'],0.0
Louis Vuitton OnTheGo Tote Limited Edition Reverse Monogram Giant GM,Louis Vuitton,3385.0,Excellent,,1340.625,Brown,Canvas (Coated),Red,Fabric,['Dust bag'],1.0
Gucci Soho Disco Crossbody Bag Leather Small,Gucci,1310.0,Great,,144.0,Neutral,Leather,Neutral,Fabric,['Dust bag'],1.0
Chanel CC Flap Bag Micro Quilted Calfskin Medium,,,,,,,,,,,
Chanel Vintage CC Chain Tote Lambskin XL,Chanel,2360.0,Very Good,2600.0,768.0,Black,Leather,Black,Leather,['Authenticity card'],1.0
Chanel Vintage Classic Single Flap Bag Quilted Caviar Jumbo,Chanel,5330.0,Very Good,,342.125,Red,Leather,Red,Leather,"['Dust bag', 'Authenticity card']",2.0
Chanel Classic Double Flap Quilt Print Patent Medim,Chanel,6150.0,Excellent,,162.5,"Neutral, Print, Multicolor",Patent Leather,"Neutral, White",Leather,['Dust bag'],1.0
Fendi Peekaboo Bag Whipstitch Leather Regular,Fendi,2320.0,Great,4500.0,650.0,Black,Leather,Black,"Leather, Microfiber",['Detachable Strap'],1.0
Celine Sangle Seau Bag Calfskin Small,,,,,,,,,,,
Chanel Vintage Timeless Wallet on Chain Metallic Leather,Chanel,2005.0,Very Good,,56.25,"Gold, Metallic",Leather,Neutral,Fabric,"['Box', 'Authenticity card']",2.0
Chanel Vintage Chain Lunch Box Bag Quilted Patent Small,Chanel,2005.0,Very Good,,182.0,Black,Leather,Black,Leather,['Detachable Strap'],1.0
Chanel Vintage Diana Flap Bag Quilted Lambskin Small,,,,,,,,,,,
Christian Dior Book Tote Oblique Canvas,,,,,,,,,,,
Louis Vuitton Speedy Bandouliere Bag Monogram Canvas Nano,,,,,,,,,,,
Chanel Coco Boy Camera Bag Quilted Leather Small,Chanel,2075.0,Great,3300.0,131.25,Red,Leather,Red,Fabric,"['Dust bag', 'Authenticity card']",2.0
Louis Vuitton Trio Pouch Limited Edition Reverse Monogram Giant,Louis Vuitton,1350.0,Pristine,,30.0,Brown,Canvas Coated,Black,Leather,"['Extra Bag', 'Extra Pochette', 'Dust bag']",3.0
Chanel Kisslock Frame Crossbody Bag Quilted Lambskin,,,,,,,,,,,
Gucci Eden Waist Bag GG Coated Canvas Medium,,,,,,,,,,,
Chanel Vintage Classic Double Flap Bag Quilted Caviar Medium,Chanel,7445.0,Excellent,,162.5,Neutral,Leather,Neutral,Leather,['No Accessories'],1.0
Saint Laurent Classic Monogram Wallet on Chain Matelasse Chevron Leather Small,Saint Laurent,1080.0,Good,1350.0,75.0,Neutral,Leather,"Black, Neutral","Fabric, Leather","['Dust bag', 'Detachable Strap']",2.0
Christian Dior Ultra Matte Saddle Pouch Leather.,,,,,,,,,,,
Louis Vuitton Felicie Pochette Monogram Canvas,Louis Vuitton,1750.0,Excellent,,40.0,Brown,Canvas (Coated),Purple,Fabric,"['Insert', 'Pochette', 'Detachable Strap']",3.0
Saint Laurent Classic Monogram Crossbody Bag Grainy Leather Medium,Saint Laurent,1420.0,Very Good,1990.0,114.0,Pink,Grainy Leather,Black,Fabric,['Dust bag'],1.0
Gucci GG Marmont Shoulder Bag Matelasse Leather Medium,,,,,,,,,,,
Saint Laurent Classic Monogram Slouchy Envelope Satchel Quilted Leather Large,,,,,,,,,,,
Louis Vuitton Pochette Accessoires Damier Mini,,,,,,,,,,,
Gucci GG Marmont Shoulder Bag Matelasse Leather Mini,Gucci,1050.0,Excellent,,70.0,Blue,Leather,Neutral,Microfiber,['Box'],1.0
Chloe Aby Day Bag Leather Small,Chloe,1315.0,Excellent,2190.0,323.0,Blue,Leather,Neutral,Fabric,"['Lock', 'Dust bag', 'Detachable Strap']",3.0
Chanel Drawstring CC Lock Bucket Bag Quilted Lambskin Medium,Chanel,2910.0,Very Good,3600.0,544.5,Black,Leather,Black,Fabric,['No accessories'],0.0
Gucci Rajah Chain Tote Suede Large,,,,,,,,,,,
Louis Vuitton Melrose Handbag Monogram Vernis,Louis Vuitton,1450.0,Excellent,2530.0,594.0,Blue,Patent Leather,Black,Microfiber,['Detachable Strap'],1.0
Gucci GG Marmont Chain Wallet Leather Mini,,,,,,,,,,,
Christian Dior 30 Montaigne Flap Bag Leather,,,,,,,,,,,
Chanel Vintage CC Flap Waist Bag Quilted Caviar Small,,,,,,,,,,,
Louis Vuitton Dauphine Bumbag Limited Edition Reverse Monogram Giant,Louis Vuitton,2425.0,Excellent,2720.0,75.0,Brown,Canvas Coated,Black,Microfiber,"['Box', 'Detachable Strap']",2.0
Louis Vuitton Palk Backpack Macassar Monogram Canvas,Louis Vuitton,1915.0,Very Good,2370.0,1275.0,Brown,Canvas (Coated),Red,Fabric,"['Box', 'Dust bag']",2.0
Saint Laurent Shopper Tote Leather Large,,,,,,,,,,,
Saint Laurent LouLou Shoulder Bag Matelasse Chevron Leather Medium,Saint Laurent,2210.0,Great,,396.0,Neutral,Leather,Black,Fabric,['No Accessories'],1.0
Christian Dior Book Tote Cannage Embroidered Canvas Small,Christian Dior,2700.0,Great,3600.0,588.0,Blue,Canvas Plain,Blue,Canvas Plain,['Dust bag'],1.0
Chanel Vintage Classic Double Flap Bag Quilted Lambskin Small,Chanel,4800.0,Very Good,6200.0,135.0,Black,Leather,Red,Leather,['Authenticity card'],1.0
Louis Vuitton Capucines Bag Embellished Leather Mini,Louis Vuitton,5670.0,Great,6500.0,132.0,"Pink, Purple",Leather,Gray,Leather,['Detachable Strap'],1.0
Chanel Vintage Classic Double Flap Bag Quilted Lambskin Small,Chanel,4735.0,Fair,6200.0,142.5,Neutral,Leather,Neutral,Leather,['Authenticity card'],1.0
Chanel Vintage Full Flap Bag Quilted Lambskin Mini,Chanel,2975.0,Good,,67.5,Black,Leather,Red,Leather,['No accessories'],0.0
Saint Laurent Cassandra Chain Shoulder Bag Leather Small,Saint Laurent,2140.0,Excellent,2350.0,138.125,Black,Leather,Red,Leather,"['Box', 'Dust bag']",2.0
Saint Laurent Uptown Tote Canvas and Leather Medium,Saint Laurent,2255.0,Excellent,2450.0,648.0,Black,"Canvas Plain, Leather",Black,"Leather, Fabric","['Dust bag', 'Extra Strap']",2.0
Chanel Vintage Logo Chain Shoulder Bag Caviar Medium,,,,,,,,,,,
Gucci Padlock Chain Tote GG Coated Canvas Small,,,,,,,,,,,
Saint Laurent Tribeca Shopping Tote Matelasse Chevron Leather Small,Saint Laurent,1440.0,Excellent,1990.0,297.0,Black,Leather,Black,Fabric,['No accessories'],0.0
Celine Luggage Bag Smooth Leather Nano,Celine,1395.0,Good,2700.0,240.0,Blue,Smooth Leather,Blue,Leather,['Detachable Strap'],1.0
Saint Laurent Sunset Crossbody Bag Crocodile Embossed Leather Medium,Saint Laurent,1835.0,Great,2350.0,153.0,Black,Leather,Black,Suede,"['Clochette', 'Dust bag', 'Authenticity card missing']",3.0
Gucci Vintage Bamboo Backpack Suede Mini,Gucci,355.0,Good,1295.0,191.25,Black,Suede,Black,Fabric,['No accessories'],0.0
Chanel Vintage Classic Double Flap Bag Quilted Caviar Small,Chanel,6305.0,Very Good,,123.75,Black,Leather,Black,Leather,['Dust bag'],1.0
Louis Vuitton Neverfull NM Tote Damier MM,Louis Vuitton,1690.0,Great,,929.5,Brown,Canvas (Coated),Red,Fabric,['Pochette'],1.0
Chanel Vintage Tassel Shoulder Bag Quilted Leather Small,Chanel,1390.0,Good,,126.0,Black,Leather,Black,Leather,"['Dust bag', 'Authenticity card']",2.0
Saint Laurent Classic Monogram Envelope Satchel Quilted Leather Medium,Saint Laurent,2730.0,Great,,166.25,Black,Leather,Black,"Fabric, Leather",['Dust bag'],1.0
Louis Vuitton Palm Springs Backpack Reverse Monogram Canvas Mini,Louis Vuitton,2725.0,Excellent,,189.0,Brown,Canvas (Coated),Black,Nylon,"['Dust bag', 'Detachable Strap']",2.0
Louis Vuitton Pochette Accessoires Monogram Canvas Mini,Louis Vuitton,625.0,Very Good,,24.0,Brown,Canvas Coated,Brown,Fabric,['No accessories'],0.0
Louis Vuitton Vosges Handbag Whipstitch Monogram Empreinte Leather MM,Louis Vuitton,2865.0,Excellent,,643.5,Black,Leather,Black,Fabric,"['Luggage Tag', 'Detachable Strap']",2.0
Louis Vuitton Speedy Handbag Monogram Multicolor 30,,,,,,,,,,,
Louis Vuitton Locky Handbag Monogram Canvas with Leather BB,Louis Vuitton,2130.0,Very Good,,144.0,"Black, Brown","Canvas (Coated), Leather",Black,Microfiber,['Detachable Strap'],1.0
Chanel CC Delivery Tote Quilted Glazed Calfskin Large,,,,,,,,,,,
Chanel Classic Card Holder on Chain Quilted Caviar Mini,Chanel,2190.0,Excellent,,15.75,Black,Leather,Red,Fabric,"['Box', 'Authenticity card', 'Dust bag']",3.0
Gucci GG Marmont Flap Bag Matelasse Leather Small,Gucci,2250.0,Great,,180.0,Black,Leather,Neutral,Microfiber,['No accessories'],0.0
Hermes Birkin Handbag Vermillon Swift with Gold Hardware 25,Hermes,14565.0,Very Good,,400.0,Red,Leather,Red,Leather,"['Clochette', 'Keys', 'Lock', 'Dust bag', 'Box']",5.0
Prada Embossed Logo Hobo Vitello Daino Medium,Prada,820.0,Very Good,1350.0,936.0,Gray,Leather,Black,Fabric,['Dust bag'],1.0
Chanel Vintage CC Charm Drawstring Backpack Quilted Denim and Leather,Chanel,1420.0,Good,6000.0,1152.0,"Blue, Brown","Denim, Leather",Brown,Leather,['No accessories'],0.0
Chanel Boy Flap Bag Quilted Lambskin Old Medium,Chanel,4505.0,Very Good,5300.0,180.0,Red,Leather,Red,Fabric,['Authenticity card'],1.0
Louis Vuitton Mini Boite Chapeau Bag Reverse Monogram Canvas,Louis Vuitton,2900.0,Excellent,,56.25,Brown,Canvas Coated,Neutral,Leather,"['Luggage Tag', 'Dust bag', 'Detachable Strap']",3.0
Christian Dior Zip Around Backpack Oblique Canvas Medium,,,,,,,,,,,
Chloe Faye Day Bag Leather Small,Chloe,965.0,Good,1850.0,445.5,Blue,Leather,Neutral,Fabric,"['Dust bag', 'Detachable Strap']",2.0
Fendi Peekaboo Bag Whipstitch Leather Mini,,,,,,,,,,,
Chanel CC Chain Drawstring Bucket Bag Quilted Lambskin Small,Chanel,2700.0,Fair,3300.0,360.0,Black,Leather,Black,Fabric,"['Authenticity card', 'Dust bag', 'Detachable Strap']",3.0
Saint Laurent Sunset Top Handle Chain Wallet Leather,Saint Laurent,1535.0,Great,1950.0,75.0,Black,Leather,Black,Leather,"['Dust bag', 'Detachable Strap']",2.0
Saint Laurent Sunset Wallet on Strap Leather,,,,,,,,,,,
Celine Phantom Bag Canvas Medium,Celine,785.0,Good,2250.0,1200.0,"Green, Neutral",Canvas (Plain),"Green, Neutral",Canvas Plain,['No accessories'],0.0
Hermes Kelly Handbag Bleu Indigo Swift with Palladium Hardware 25,Hermes,15000.0,Excellent,,320.0,Blue,Leather,Blue,Leather,"['Clochette', 'Keys', 'Lock', 'Dust bag', 'Box', 'Detachable Strap']",6.0
Chanel Embossed Logo Bowler Bag Quilted Leather Medium,,,,,,,,,,,
Gucci Ophidia Handle Shoulder Bag GG Coated Canvas Mini,,,,,,,,,,,
Saint Laurent Le 61 Camera Bag Leather,Saint Laurent,755.0,Great,995.0,70.0,Neutral,Leather,Black,Leather,['No accessories'],0.0
Gucci Ophidia Soft Open Tote GG Coated Canvas East West,Gucci,1660.0,Good,1750.0,1326.0,Brown,Canvas (Coated),Neutral,Microfiber,['Pochette'],1.0
Saint Laurent Spontini Saddle Bag Leather Small,Saint Laurent,1510.0,Great,1750.0,117.0,Black,Leather,Black,Leather,['Dust bag'],1.0
Louis Vuitton Pochette A4 Limited Edition Monogram Clouds,Louis Vuitton,1810.0,Great,,126.0,"Blue, White",Canvas Coated,Blue,Fabric,['No accessories'],0.0
Gucci Lady Web Shoulder Bag GG Canvas Medium,Gucci,1935.0,Very Good,,216.0,Brown,"Canvas (Plain), Leather",Neutral,Fabric,['Detachable Strap'],1.0
Louis Vuitton Alma Chain Handbag Epi Leather Mini,Louis Vuitton,1290.0,Excellent,,192.0,Black,Leather,Black,Microfiber,['No accessories'],0.0
Louis Vuitton Pochette Accessoires NM Monogram Vernis,Louis Vuitton,1060.0,Great,,67.5,Pink,Patent Leather,Pink,Fabric,['Detachable Strap'],1.0
Louis Vuitton Felicie Pochette Monogram Empreinte Leather,Louis Vuitton,1655.0,Very Good,,42.5,Black,Leather,Black,Fabric,"['Insert', 'Pochette missing', 'Box', 'Dust bag', 'Detachable Strap']",5.0
Chanel Vintage CC Chain Flap Bag Quilted Lambskin Large,Chanel,4525.0,Very Good,,220.5,Black,Leather,"Black, Red",Leather,['Box'],1.0
Gucci Emily Chain Flap Bag Guccissima Leather Medium,,,,,,,,,,,
Saint Laurent LouLou Shoulder Bag Matelasse Chevron Leather Toy,Saint Laurent,1275.0,Great,,103.125,Black,Leather,Black,"Fabric, Leather",['Detachable Strap'],1.0
Chanel Citizen Flap Bag Quilted Calfskin Mini,Chanel,2575.0,Very Good,,78.0,Black,Leather,Black,Satin,['Authenticity card'],1.0
Louis Vuitton Lockit Handbag Monogram Canvas Horizontal,Louis Vuitton,880.0,Fair,1090.0,1056.0,Brown,Canvas (Coated),Brown,Fabric,"['Keys missing', 'Lock', 'Dust bag']",3.0
Chanel CC Flap Bag Quilted Hand Painted Leather Mini,Chanel,3490.0,Great,,72.0,Multicolor,Leather,Black,Fabric,"['Dust bag', 'Box', 'Authenticity card']",3.0
Chanel Vintage Timeless Boston Bag Caviar Medium,Chanel,2980.0,Great,3700.0,882.0,Black,Leather,Black,Leather,"['Charms missing', 'Clochette', 'Keys', 'Lock', 'Luggage Tag missing', 'Authenticity card', 'Detachable Strap']",7.0
Chanel Filigree Vertical Vanity Case PVC with Lambskin,Chanel,4045.0,Excellent,4400.0,97.5,"Clear, Multicolor","Leather, Pvc","Clear, Multicolor","Leather, Pvc","['Clochette', 'Extra Clochette', 'Keys', 'Lock', 'Authenticity card', 'Dust bag']",6.0
Chanel La Pausa Classic Single Flap Bag Sequin Embellished Satin Medium,Chanel,4075.0,Excellent,8200.0,195.0,Gray,Sequins,White,Satin,"['Box', 'Authenticity card']",2.0
Prada Sidonie Chain Shoulder Bag Saffiano Leather Medium,Prada,1840.0,Excellent,2800.0,85.0,Neutral,Leather,Black,Fabric,"['Box', 'Dust bag']",2.0
Chanel CC Daily Shopping Tote Quilted Caviar Small,,,,,,,,,,,
Saint Laurent Sunset Crossbody Bag Leather Medium,Saint Laurent,1770.0,Very Good,2290.0,135.0,Blue,Leather,Blue,Suede,['Clochette'],1.0
Gucci GG Marmont Flap Bag Matelasse Leather Mini,Gucci,1195.0,Fair,1980.0,100.0,Purple,Leather,Neutral,Microfiber,['No accessories'],0.0
