Title,Brand,Price,Condition,Retail_Price,Volume,Exterior Color,Exterior Material,Interior Color,Interior Material,Accessories
Louis Vuitton Delightful NM Handbag Damier MM,,,,,,,,,,[]
Chanel Urban Spirit Backpack Quilted Lambskin Mini,Chanel,3945.0,Great,,204.75,Black,Leather,Black,Fabric,['No accessories']
Christian Dior Ultra Matte Saddle Handbag Leather Medium,,,,,,,,,,[]
Saint Laurent Lou Camera Bag Matelasse Chevron Leather Small,Saint Laurent,1615.0,Excellent,,146.25,Pink,Leather,Black,Fabric,"['Tassel', 'Dust bag']"
Christian Dior Vintage Saddle Bag Leather and Printed Corduroy Medium,Christian Dior,1575.0,Good,,190.0,"Brown, Print","Corduroy, Leather",Brown,Fabric,['No accessories']
Gucci Children's Animal Tote GG Coated Canvas with Applique Small,Gucci,590.0,Excellent,,256.0,"Blue, Print",Canvas Coated,Red,Nylon,['Dust bag']
Chanel Classic Single Flap Bag Quilted Lambskin Mini,Chanel,4355.0,Great,,84.375,Blue,Leather,Blue,Leather,"['Dust bag', 'Authenticity card', 'Box']"
Chanel Wallet on Chain Quilted Lambskin,Chanel,2835.0,Great,,35.0,Black,Leather,Red,"Fabric, Leather","['Box', 'Authenticity card']"
Louis Vuitton Eva Crossbody Monogram Canvas,,,,,,,,,,[]
Chanel Classic Single Flap Bag Chevron Lambskin Mini,Chanel,4520.0,Great,,100.0,Pink,Leather,Pink,Leather,"['Authenticity card', 'Box', 'Dust bag']"
Saint Laurent Kaia Shoulder Bag Leather Small,,,,,,,,,,[]
Chanel Boy Flap Bag Quilted Lambskin Old Medium,Chanel,5870.0,Very Good,,180.0,Black,Leather,Black,Fabric,"['Authenticity card', 'Box', 'Dust bag']"
Chanel Vintage Classic Double Flap Bag Quilted Lambskin Small,Chanel,5210.0,Very Good,5800.0,135.0,Neutral,Leather,Neutral,Leather,"['Dust bag', 'Box', 'Authenticity card']"
Chanel Carry Chic Flap Bag Quilted Lambskin Medium,Chanel,2860.0,Fair,4200.0,262.5,Blue,Leather,Blue,Leather,['Authenticity card']
Fendi Vintage Pom Pom Bag Zucca Woven Fabric Small,Fendi,410.0,Very Good,,176.0,"Green, Pink",Fabric,Green,Satin,['No accessories']
Something went,,,,,,,,,,[]
Saint Laurent Sunset Crossbody Bag Crocodile Embossed Leather Medium,,,,,,,,,,[]
Chanel Coco Top Handle Bag Quilted Caviar Extra Mini,,,,,,,,,,[]
Chanel Boy Flap Bag Quilted Lambskin New Medium,,,,,,,,,,[]
Gucci Dionysus Bag GG Velvet Super Mini,Gucci,995.0,Very Good,,39.0,Purple,Leather,Brown,Microfiber,['Detachable Strap']
Valentino Turnlock Flap Shoulder Bag Leather with Micro Rockstuds Micro,,,,,,,,,,[]
Louis Vuitton Felicie Pochette Monogram Empreinte Leather,,,,,,,,,,[]
Chanel Boy Flap Bag Quilted Lambskin New Medium,Chanel,6190.0,Excellent,,231.0,Black,Leather,Black,Fabric,"['Dust bag', 'Authenticity card']"
Prada Hobo Tessuto Mini,Prada,670.0,Great,,112.5,Black,Nylon,Black,Nylon,['Dust bag']
Chanel Urban Luxury Top Handle Bag Stitched Calfskin Small,Chanel,2445.0,Fair,4800.0,320.0,Neutral,Leather,Neutral,Leather,['Authenticity card']
Saint Laurent Cassandra Top Handle Bag Leather Mini,Saint Laurent,1905.0,Great,2150.0,112.5,Black,Leather,Red,Leather,"['Dust bag', 'Detachable Strap']"
Celine Luggage Bag Grainy Leather Micro,,,,,,,,,,[]
Saint Laurent Lou Camera Bag Matelasse Chevron Leather Mini,Saint Laurent,1250.0,Very Good,,47.25,Black,Leather,Black,Leather,['Dust bag']
Celine Luggage Bag Smooth Leather Mini,Celine,1525.0,Good,3100.0,1050.0,Black,Leather,Black,Leather,['No accessories']
Chanel Vintage Classic Single Flap Bag Vertical Quilt Lambskin Jumbo,,,,,,,,,,[]
Chanel Vintage Oval CC Tassel Crossbody Bag Suede Mini,,,,,,,,,,[]
Chanel Boy Flap Bag Chevron Lambskin Old Medium,Chanel,3995.0,Great,5000.0,238.875,Yellow,Leather,Yellow,Fabric,"['Authenticity card', 'Box']"
Hermes Kelly Danse II Bag Evercolor,Hermes,12265.0,Excellent,,165.75,Gray,Leather,Gray,Leather,"['Base Shaper', 'Dust bag', 'Detachable Strap']"
Saint Laurent Classic Monogram Clutch Degrade Leather Large,,,,,,,,,,[]
Chanel Vintage Flap Belt Bag Quilted Leather Small,Chanel,2110.0,Excellent,,75.0,Black,Leather,Black,Leather,['Authenticity card']
