Title,Brand,Price,Condition,Retail_Price,Volume,Exterior Color,Exterior Material,Interior Color,Interior Material,Accessories
Saint Laurent Sac de Jour Bag Leather Small,Saint Laurent,1510.0,Great,2890.0,750.0,Gray,Leather,Black,Leather,"['Clochette', 'Keys missing', 'Lock', 'Dust bag', 'Detachable Strap']"
Chanel Spiral Sea Hit Tote Quilted Iridescent Calfskin Large,,,,,,,,,,[]
Celine All Soft Bag Leather,Celine,725.0,Good,2785.0,929.5,"Black, Brown, Neutral, Multicolor",Leather,Brown,Suede,['Pochette missing']
Gucci GG Marmont Shoulder Bag Matelasse Leather Small,Gucci,1240.0,Excellent,,78.75,Blue,Leather,Neutral,Microfiber,['Dust bag']
Chanel Shopping Tote Fringe Denim Large,Chanel,1765.0,Very Good,4900.0,957.0,Blue,Denim,Blue,Fabric,['Authenticity card']
Balenciaga City Graffiti Classic Studs Bag Leather Small,Balenciaga,1425.0,Very Good,2300.0,345.0,Black,Leather,Black,Fabric,"['Mirror', 'Dust bag', 'Detachable Strap']"
Chanel Coco Splash Shopping Tote Quilted PVC With Lambskin Medium,Chanel,2620.0,Great,3700.0,937.75,"Blue, Clear","Leather, Pvc","Blue, Clear","Leather, Pvc",['Authenticity card']
Prada Canapa Tote Raffia Crochet Large,Prada,440.0,Great,,1550.0,"Green, Pink",Raffia,Green,Fabric,['No accessories']
Gucci GG Marmont Flap Bag Matelasse Velvet Small,Gucci,1240.0,Very Good,1890.0,180.0,Pink,Velvet,Blue,Satin,['Dust bag']
Louis Vuitton Saint Jacques Handbag Epi Leather PM,Louis Vuitton,445.0,Great,1350.0,342.0,Black,Leather,Gray,Microfiber,['No accessories']
Chanel Tricolor Reissue 2.55 Flap Bag Quilted Grosgrain Satin 227,Chanel,2085.0,Great,3000.0,270.0,"Gray, Silver, White",Satin,Black,Fabric,['Authenticity card']
Salvatore Ferragamo Ginny Crossbody Bag Saffiano Leather Small,Salvatore Ferragamo,290.0,Good,850.0,61.875,Neutral,Leather,Neutral,Fabric,['No accessories']
Louis Vuitton Dauphine Shoulder Bag Taurillon Leather Mini,,,,,,,,,,[]
Prada Camera Shoulder Bag Saffiano Leather Small,Prada,790.0,Great,,48.0,Yellow,Leather,Gold,Fabric,"['Dust bag', 'Detachable Strap']"
Chanel Vintage Classic Double Flap Bag Quilted Lambskin Small,Chanel,4615.0,Good,5800.0,135.0,Neutral,Leather,Neutral,Leather,['Dust bag']
Louis Vuitton Pochette Accessoires Monogram Canvas Mini,Louis Vuitton,660.0,Great,,24.0,Brown,Canvas Coated,Brown,Fabric,['No accessories']
Louis Vuitton Grenelle Pochette Epi Leather,Louis Vuitton,3635.0,Great,,162.0,White,Leather,Red,Microfiber,"['Dust bag', 'Extra Strap']"
Prada Flap Crossbody Bag Vitello Daino Small,Prada,1410.0,Excellent,1790.0,88.0,Black,Leather,Black,"Fabric, Leather","['Extra Strap missing', 'Dust bag', 'Detachable Strap']"
Prada Promenade Bag Saffiano Leather Medium,Prada,1125.0,Great,2200.0,584.375,Pink,Leather,"Neutral, Pink","Fabric, Leather","['Clochette', 'Detachable Strap']"
Chanel Boy Flap Bag Quilted Lambskin Small,,,,,,,,,,[]
Fendi B Bis Flap Bag Zucca Canvas Medium,Fendi,440.0,Fair,900.0,252.0,Brown,Canvas Plain,Brown,Fabric,['No accessories']
Saint Laurent Classic Monogram Wallet on Chain Matelasse Chevron Leather Small,Saint Laurent,1225.0,Great,1350.0,56.25,Red,Leather,Black,Fabric,"['Box', 'Dust bag', 'Detachable Strap']"
Fendi Vintage Tote Zucchino Canvas Medium,,,,,,,,,,[]
Chanel Coco Sailor Medallion Flap Bag Quilted Jersey and Lambskin Jumbo,Chanel,2365.0,Very Good,3200.0,258.75,"Blue, White, Multicolor","Leather, Jersey",Red,Fabric,"['Pochette', 'Dust bag', 'Authenticity card']"
Mansur Gavriel Bucket Bag Leather Large,Mansur Gavriel,325.0,Good,595.0,648.0,Black,Leather,Red,Leather,"['Pochette', 'Dust bag']"
Chanel Deauville Tote Canvas Small,Chanel,2010.0,Good,2400.0,810.0,Pink,Canvas (Plain),Red,Fabric,['Authenticity card']
Chanel Gabrielle Hobo Shearling and Leather Medium,Chanel,2885.0,Excellent,4100.0,223.125,Black,"Fur, Leather",Black,Fabric,['Authenticity card']
Chanel Vintage Mademoiselle Chain Messenger Quilted Tweed with Leather Medium,Chanel,1520.0,Very Good,3950.0,150.0,"Neutral, Multicolor","Leather, Tweed",Pink,Leather,['Authenticity card']
Bottega Veneta Cassette Crossbody Bag Maxi Intrecciato Leather Mini,Bottega Veneta,795.0,Great,1250.0,45.0,Black,Leather,Brown,Suede,"['Dust bag', 'Detachable Strap']"
Gucci Vintage Pochette Shoulder Bag GG Canvas Small,Gucci,515.0,Very Good,,54.0,Black,Canvas Plain,Black,Fabric,['No accessories']
Louis Vuitton Speedy Bandouliere Bag Damier 25,Louis Vuitton,1915.0,Excellent,,450.0,"Blue, White",Canvas (Coated),Neutral,Fabric,"['Keys', 'Lock', 'Detachable Strap']"
Louis Vuitton LV Riverside Handbag Damier,Louis Vuitton,2660.0,Very Good,,641.25,Brown,Canvas (Coated),Black,Microfiber,['Detachable Strap']
Chanel Classic Single Flap Bag Quilted Lambskin Jumbo,Chanel,5030.0,Very Good,5500.0,357.0,Black,Leather,Black,Leather,"['Box', 'Authenticity card']"
Louis Vuitton Neverfull NM Tote Damier MM,Louis Vuitton,1240.0,Good,1540.0,825.0,Brown,Canvas (Coated),Red,Fabric,"['Dust bag', 'Pochette missing']"
Gucci GG Marmont Flap Bag Matelasse Velvet Small,Gucci,1540.0,Great,1890.0,106.25,Purple,Velvet,Pink,Satin,['No accessories']
Louis Vuitton Speedy Handbag Epi Leather 30,Louis Vuitton,665.0,Good,1330.0,787.5,Blue,Leather,Blue,Raw Leather,"['Keys', 'Lock']"
Louis Vuitton Pochette Accessoires Epi Leather,Louis Vuitton,405.0,Great,550.0,52.25,Red,Leather,Red,Microfiber,['Detachable Strap']
Bottega Veneta The Pouch Intrecciato Nappa 20,Bottega Veneta,1085.0,Very Good,1690.0,101.25,Pink,Leather,Pink,Leather,['Dust bag']
Hermes Halzan Bag Clemence 31,Hermes,4480.0,Excellent,5850.0,322.0,Neutral,Leather,Neutral,Leather,['Detachable Strap']
Chloe Faye Backpack Leather and Suede Mini,Chloe,855.0,Very Good,1490.0,168.0,Pink,"Leather, Suede",Neutral,Fabric,"['Dust bag', 'Detachable Strap']"
Christian Dior Lady,Christian Dior,4640.0,Very Good,,303.75,Pink,Canvas Plain,Pink,Canvas Plain,['Detachable Strap']
Hermes Birkin Handbag Argile Clemence with Gold Hardware 35,Hermes,10935.0,Fair,,897.75,Neutral,Leather,Neutral,Leather,"['Clochette', 'Keys', 'Lock', 'Dust bag']"
Louis Vuitton OnTheGo Tote Limited Edition Reverse Monogram Giant GM,Louis Vuitton,3795.0,Excellent,,1394.25,Brown,Canvas Coated,Red,Fabric,['Dust bag']
Christian Dior My ABCDior Lady Dior Bag Cannage Quilt Lambskin,Christian Dior,4155.0,Great,,168.0,"Gold, Metallic",Leather,Neutral,Microfiber,"['Pins', 'Detachable Strap']"
Celine Trotteur Crossbody Bag Grainy Leather Small,Celine,1300.0,Very Good,1950.0,91.0,Black,Grainy Leather,Black,Leather,['Dust bag']
Louis Vuitton Palm Springs Backpack Monogram Canvas Mini,,,,,,,,,,[]
Christian Dior Book Tote Embossed Leather Small,Christian Dior,2995.0,Excellent,,957.0,Black,Leather,Black,Microfiber,"['Dust bag', 'Box']"
Gucci GG Marmont Shoulder Bag Matelasse Leather Small,Gucci,1280.0,Very Good,,123.75,Black,Leather,Neutral,Microfiber,['No accessories']
Christian Dior Book Tote Houndstooth Canvas Small,,,,,,,,,,[]
Chanel 19 Flap Bag Quilted Goatskin Large,Chanel,5130.0,Great,,432.0,Pink,Leather,Pink,Fabric,"['Box', 'Authenticity card', 'Dust bag']"
Saint Laurent Lou Belt Bag Leather,Saint Laurent,820.0,Very Good,,48.0,Black,Leather,Black,Fabric,"['Tassel', 'Dust bag', 'Detachable Strap']"
Gucci Padlock Chain Tote GG Coated Canvas Small,Gucci,1195.0,Great,1590.0,280.0,"Black, Brown","Canvas (Coated), Leather",Neutral,Microfiber,"['Clochette', 'Keys']"
Chanel Vintage Full Flap Bag Quilted Lambskin Medium,Chanel,2845.0,Very Good,,104.5,Black,Leather,Red,Leather,['Authenticity card']
Chanel Vintage CC Chain Flap Bag Vertical Quilt Lambskin Medium,Chanel,4440.0,Great,,185.25,Gold,Leather,Gold,Leather,"['Authenticity card', 'Box', 'Dust bag']"
Louis Vuitton City Steamer Handbag Leather PM,Louis Vuitton,1835.0,Good,3700.0,446.25,Black,Leather,Black,Leather,"['Keys', 'Lock', 'Luggage Tag', 'Detachable Strap missing']"
Chloe Drew Crossbody Bag Leather Nano,Chloe,595.0,Great,1190.0,75.0,"Brown, Neutral, Multicolor",Leather,Neutral,Suede,['No accessories']
Fendi Kan I F Wallet On Chain Leather,Fendi,670.0,Very Good,1150.0,66.0,Gray,Leather,Gray,"Fabric, Leather",['No accessories']
Chanel Reissue 2.55 Waist Bag Quilted Aged Calfskin,Chanel,2520.0,Excellent,2900.0,52.0,Red,Leather,Red,Leather,['Authenticity card']
Chanel Ribbon Vanity Case Quilted Grosgrain Medium,Chanel,1015.0,Great,,522.5,Black,Fabric,Black,Microfiber,['Authenticity card']
Chanel Clutch with Chain Quilted Caviar,,,,,,,,,,[]
Saint Laurent LouLou Shoulder Bag Matelasse Chevron Leather Toy,Saint Laurent,1495.0,Great,,123.75,Pink,Leather,Black,Fabric,"['Dust bag', 'Detachable Strap']"
Chanel Vintage Classic Top Handle Flap Bag Caviar Jumbo,Chanel,3210.0,Great,,540.0,Brown,Leather,Brown,Leather,['No accessories']
Saint Laurent Sunset Chain Wallet Leather,,,,,,,,,,[]
Chanel Ultimate Soft Hobo Leather Large,Chanel,1580.0,Good,2250.0,1069.5,Black,Leather,Black,Fabric,['No accessories']
Louis Vuitton Multi Pochette Accessoires Monogram Canvas,Louis Vuitton,2995.0,Great,,95.0,Brown,Canvas Coated,Brown,Fabric,"['Extra Bag', 'Extra Strap', 'Pochette', 'Dust bag', 'Detachable Strap']"
Louis Vuitton Montaigne Handbag Monogram Empreinte Leather MM,Louis Vuitton,2880.0,Excellent,3400.0,655.5,Red,Leather,Red,"Fabric, Leather","['Clochette', 'Keys', 'Lock', 'Poignet', 'Detachable Strap']"
Gucci Petite GG Marmont Chain Wallet Leather Mini,Gucci,875.0,Good,,60.0,Neutral,Leather,Brown,Fabric,"['Dust bag', 'Detachable Strap']"
Louis Vuitton Montsouris Backpack Monogram Canvas MM,Louis Vuitton,1360.0,Fair,,600.0,Brown,Canvas (Coated),Brown,Fabric,['No accessories']
Gucci Saddle Zip Messenger Bag GG Denim Medium,,,,,,,,,,[]
Fendi Selleria Baguette NM Bag Leather Medium,Fendi,2495.0,Great,,165.0,Neutral,Leather,Green,Leather,"['Extra Strap', 'Dust bag', 'Detachable Strap']"
Fendi Logo Shopper Tote Leather,Fendi,680.0,Great,1300.0,942.5,Neutral,Leather,Neutral,Raw Leather,['Pochette']
Chanel Vintage Front Pocket CC Camera Bag Caviar Medium,Chanel,2535.0,Very Good,,264.0,Black,Leather,Black,Leather,['Authenticity card']
Chanel Boy Shopping Tote Chevron Denim,Chanel,2240.0,Great,3300.0,840.0,Blue,Denim,Blue,Fabric,['Authenticity card']
Gucci Belt Bag Printed GG Coated Canvas,Gucci,835.0,Great,,120.0,"Brown, Multicolor",Canvas Coated,Purple,Fabric,['No accessories']
Gucci GG Marmont Top Handle Bag Leather Small,,,,,,,,,,[]
Prada Esplanade Crossbody Bag Saffiano Leather Small,Prada,915.0,Great,1650.0,178.5,"Black, Green",Leather,Black,Leather,"['Clochette', 'Keys', 'Lock', 'Dust bag', 'Detachable Strap']"
Celine Phantom Bag Grainy Leather Medium,Celine,965.0,Fair,3100.0,1320.0,Neutral,Grainy Leather,Neutral,Suede,['No accessories']
Gucci Animalier Crossbody Bag Leather,Gucci,645.0,Excellent,,32.5,Black,Leather,Neutral,Microfiber,['Detachable Strap']
Chanel Resin Modern Chain Flap Bag Lambskin Medium,Chanel,1280.0,Good,2680.0,510.0,White,Leather,Gray,Satin,"['Authenticity card', 'Box']"
Gucci GG Marmont Shoulder Bag Matelasse Leather Small,Gucci,1385.0,Very Good,,148.5,Neutral,Leather,Neutral,Microfiber,['Dust bag']
Louis Vuitton Vaugirard Handbag Monogram Canvas with Leather,Louis Vuitton,2900.0,Very Good,,257.25,"Brown, Neutral","Canvas Coated, Leather",Neutral,Microfiber,"['Box', 'Dust bag', 'Detachable Strap']"
Louis Vuitton Neverfull Tote Damier MM,Louis Vuitton,1260.0,Fair,,971.75,Brown,Canvas (Coated),Red,Fabric,['Dust bag']
Christian Dior Book Tote Oblique Canvas,Christian Dior,2645.0,Very Good,2900.0,1617.0,Blue,Canvas (Plain),Blue,Canvas Plain,['Dust bag']
Balenciaga Logo Ville Bowling Bag Leather Small,,,,,,,,,,[]
Chanel Vintage Backpack Caviar Medium,Chanel,2635.0,Very Good,,484.0,Black,Leather,Black,Fabric,['No Accessories']
Louis Vuitton Ramatuelle handbag Epi Leather,Louis Vuitton,310.0,Fair,,233.75,Purple,Leather,Purple,Fabric,['No accessories']
Chanel Coco Boy Camera Bag Quilted Leather Small,Chanel,2075.0,Great,3300.0,131.25,Red,Leather,Red,Fabric,"['Dust bag', 'Authenticity card']"
Louis Vuitton Trio Pouch Limited Edition Reverse Monogram Giant,Louis Vuitton,1350.0,Pristine,,30.0,Brown,Canvas Coated,Black,Leather,"['Extra Bag', 'Extra Pochette', 'Dust bag']"
Chanel Kisslock Frame Crossbody Bag Quilted Lambskin,Chanel,2700.0,Excellent,3000.0,72.0,Black,Leather,Black,Leather,['No accessories']
Mulberry Leighton Shoulder Bag Leather Medium,Mulberry,800.0,Great,1465.0,687.5,Blue,Leather,Brown,Suede,"['Dust bag', 'Detachable Strap']"
Louis Vuitton Pochette Metis Reverse Monogram Canvas,Louis Vuitton,2515.0,Great,,228.0,Brown,Canvas (Coated),Black,Microfiber,"['Dust bag', 'Detachable Strap']"
Chanel 19 Flap Bag Quilted Jersey Large,Chanel,5545.0,Great,,342.125,Black,Jersey,Red,Fabric,['Authenticity card']
Chanel Deauville Tote Canvas Small,Chanel,2725.0,Very Good,,445.5,Neutral,Canvas (Plain),Neutral,Fabric,['No accessories']
Saint Laurent Classic Monogram Envelope Satchel Mixed Matelasse Leather Small,Saint Laurent,2365.0,Great,,70.0,Black,Leather,Black,Fabric,"['Box', 'Dust bag']"
Fendi Mon Tresor Bucket Bag Zucca Coated Canvas Small,Fendi,1830.0,Excellent,1980.0,420.0,Brown,Canvas (Coated),Gray,Microfiber,"['Dust bag', 'Detachable Strap']"
Chanel CC Flap Bag Micro Quilted Calfskin Medium,Chanel,3220.0,Very Good,4600.0,85.0,Pink,Leather,Blue,Fabric,['Box']
Chanel Space Charms Reissue 2.55 Flap Bag Quilted Canvas 226,Chanel,6295.0,Great,7500.0,257.25,Gray,Canvas Plain,Silver,Leather,"['Dust bag', 'Box', 'Authenticity card']"
Gucci GG Marmont Shoulder Bag Matelasse Leather Mini,Gucci,1050.0,Excellent,,70.0,Blue,Leather,Neutral,Microfiber,['Box']
Chanel Boy Flap Bag Braided Chevron Cording and Calfskin Old Medium,Chanel,4175.0,Very Good,4800.0,180.0,Pink,"Leather, Textile",Pink,Fabric,['Dust bag']
Chanel Vintage Chain Lunch Box Bag Quilted Patent Small,,,,,,,,,,[]
Christian Dior Vintage Double Saddle Bag Printed Nylon,Christian Dior,1755.0,Fair,,154.0,"Brown, Print",Nylon,Brown,Nylon,['No accessories']
Chanel Drawstring CC Lock Bucket Bag Quilted Lambskin Medium,Chanel,2910.0,Very Good,3600.0,544.5,Black,Leather,Black,Fabric,['No accessories']
Louis Vuitton Melrose Handbag Monogram Vernis,Louis Vuitton,1450.0,Excellent,2530.0,594.0,Blue,Patent Leather,Black,Microfiber,['Detachable Strap']
Gucci GG Marmont Chain Wallet Leather Mini,Gucci,1155.0,Very Good,1450.0,66.0,Black,Leather,Black,Fabric,['Detachable Strap']
Gucci Plus Tote GG Coated Canvas Small,Gucci,500.0,Great,,322.0,Brown,Canvas Coated,Brown,Fabric,['No accessories']
Christian Dior 30 Montaigne Flap Bag Leather,Christian Dior,3420.0,Excellent,,123.5,Neutral,Leather,Neutral,Leather,"['Dust bag', 'Detachable Strap']"
Chanel Vintage CC Flap Waist Bag Quilted Caviar Small,Chanel,2455.0,Excellent,,45.375,Brown,Leather,Brown,Leather,"['Authenticity card', 'Detachable Strap']"
Christian Dior Vintage Lady Dior Bag Cannage Quilt Suede Mini,Christian Dior,1010.0,Fair,,89.375,Black,Suede,Red,Fabric,['Detachable Strap']
Louis Vuitton Turenne Handbag Monogram Canvas PM,Louis Vuitton,2025.0,,,384.75,Brown,Canvas (Coated),Brown,Fabric,['Detachable Strap']
Hermes Kelly Handbag Tosca Togo with Gold Hardware 35,Hermes,8710.0,Great,,700.0,Purple,Leather,Purple,Leather,"['Clochette', 'Keys', 'Lock', 'Detachable Strap']"
Louis Vuitton Dauphine Bumbag Limited Edition Reverse Monogram Giant,Louis Vuitton,2425.0,Excellent,2720.0,75.0,Brown,Canvas Coated,Black,Microfiber,"['Box', 'Detachable Strap']"
Louis Vuitton Palk Backpack Macassar Monogram Canvas,Louis Vuitton,1915.0,Very Good,2370.0,1275.0,Brown,Canvas (Coated),Red,Fabric,"['Box', 'Dust bag']"
Chanel PVC Chain Fantasy Square Bag Tweed Small,,,,,,,,,,[]
Chanel Precious Symbols Flap Bag Embossed Leather Small,Chanel,2440.0,Excellent,2700.0,99.0,Black,Embossed Leather,Black,Fabric,['No accessories']
Christian Dior Roller Messenger Bag Oblique Canvas,Christian Dior,1695.0,Excellent,,160.0,Blue,Canvas Plain,Black,Fabric,"['Dust bag', 'Detachable Strap']"
Christian Dior Vintage Saddle Bag Diorissimo Canvas Mini,Christian Dior,850.0,Very Good,,72.0,Green,Canvas (Plain),Green,Nylon,['No accessories']
Chanel Vintage Classic Double Flap Bag Quilted Lambskin Medium,Chanel,4210.0,Very Good,6500.0,150.0,Black,Leather,Red,Leather,['No accessories']
Gucci GG Marmont Flap Bag Matelasse Velvet Medium,Gucci,1850.0,Very Good,1980.0,252.0,Black,Velvet,Pink,Satin,['Dust bag']
Saint Laurent Classic Monogram Crossbody Bag Grainy Leather Medium,Saint Laurent,1420.0,Very Good,1990.0,114.0,Pink,Grainy Leather,Black,Fabric,['Dust bag']
Fendi Baguette NM Bag Zucca Embossed Velvet Mini,Fendi,2230.0,Excellent,,80.0,Purple,Velvet,Black,Fabric,['Dust bag']
Louis Vuitton Croisette Handbag Damier,Louis Vuitton,2145.0,Very Good,,189.0,Brown,Canvas (Coated),Red,Fabric,"['Tassel', 'Dust bag', 'Detachable Strap']"
Prada Braided Handle Hobo Tessuto with Leather Large,Prada,425.0,Good,,1168.75,Black,"Leather, Nylon",Black,Fabric,['Luggage Tag']
Louis Vuitton Viva Cite Handbag Monogram Canvas GM,Louis Vuitton,735.0,Good,1080.0,384.0,Brown,Canvas (Coated),Red,Microfiber,['No accessories']
Loewe Puzzle Bag Leather Medium,Loewe,1535.0,Good,2450.0,506.0,Blue,Leather,Neutral,Fabric,"['Dust bag', 'Detachable Strap']"
Hermes Lindy Bag Clemence 30,,,,,,,,,,[]
Gucci Soho Chain Strap Shoulder Bag Leather Medium,Gucci,1080.0,Great,1650.0,882.0,Purple,Leather,Neutral,Fabric,['Tassel']
Celine Luggage Bag Smooth Leather Nano,Celine,1395.0,Good,2700.0,240.0,Blue,Smooth Leather,Blue,Leather,['Detachable Strap']
Saint Laurent Sunset Crossbody Bag Crocodile Embossed Leather Medium,Saint Laurent,1835.0,Great,2350.0,153.0,Black,Leather,Black,Suede,"['Clochette', 'Dust bag', 'Authenticity card missing']"
Gucci Vintage Bamboo Backpack Suede Mini,Gucci,355.0,Good,1295.0,191.25,Black,Suede,Black,Fabric,['No accessories']
Chanel Lifesaver Round Clutch with Chain Quilted Tweed,Chanel,1660.0,Very Good,,62.5,Blue,Tweed,Blue,Fabric,['Box']
Mansur Gavriel Convertible Folded Tote Leather Mini,Mansur Gavriel,365.0,Very Good,695.0,997.5,Brown,Leather,Blue,Leather,"['Dust bag', 'Detachable Strap']"
Fendi Baguette Zucchino Canvas,Fendi,780.0,Good,,75.0,Black,Canvas (Plain),Black,Fabric,['No accessories']
Christian Dior Lady Dior Bag Cannage Quilt Lambskin Large,Christian Dior,3390.0,Excellent,5000.0,625.0,Print,Leather,Gray,Fabric,"['Dust bag', 'Detachable Strap']"
Saint Laurent Uptown Tote Canvas and Leather Medium,Saint Laurent,2255.0,Excellent,2450.0,648.0,Black,"Canvas Plain, Leather",Black,"Leather, Fabric","['Dust bag', 'Extra Strap']"
Louis Vuitton Artsy Handbag Monogram Empreinte Leather MM,Louis Vuitton,2690.0,Very Good,3500.0,1560.0,Blue,Leather,Blue,Fabric,"['Charms', 'Box', 'Dust bag']"
Christian Dior My Lady Dior Bag Cannage Quilted Leather,Christian Dior,4275.0,Excellent,,196.0,Silver,Leather,Blue,Leather,"['Pins', 'Dust bag', 'Detachable Strap']"
Chanel Classic Double Flap Quilt Print Patent Medim,Chanel,6150.0,Excellent,,162.5,"Neutral, Print, Multicolor",Patent Leather,"Neutral, White",Leather,['Dust bag']
Chanel Vintage Timeless Wallet on Chain Metallic Leather,Chanel,2005.0,Very Good,,56.25,"Gold, Metallic",Leather,Neutral,Fabric,"['Box', 'Authenticity card']"
Chloe Faye Day Bag Leather Small,Chloe,965.0,Good,1850.0,445.5,Blue,Leather,Neutral,Fabric,"['Dust bag', 'Detachable Strap']"
Louis Vuitton Neverfull Tote Damier MM,Louis Vuitton,1335.0,Good,,825.0,Brown,Canvas (Coated),Red,Fabric,['Dust bag']
Chanel Business Affinity Camera Case Bag Quilted Caviar Small,Chanel,2980.0,Very Good,,116.875,Pink,Leather,Pink,Leather,"['Box', 'Dust bag', 'Authenticity card']"
Chanel CC Chain Flap Fur with Faux Pearl Detail Medium,Chanel,3275.0,Excellent,,189.0,Black,Fur,Red,Leather,"['Authenticity card', 'Box', 'Dust bag']"
Chanel Vintage Timeless Boston Bag Caviar Medium,,,,,,,,,,[]
Chanel Wallet on Chain Quilted Lambskin,Chanel,2490.0,Very Good,,37.5,Black,Leather,Red,"Fabric, Leather","['Authenticity card', 'Box', 'Dust bag']"
Chanel CC Chain Drawstring Bucket Bag Quilted Lambskin Small,Chanel,2700.0,Fair,3300.0,360.0,Black,Leather,Black,Fabric,"['Authenticity card', 'Dust bag', 'Detachable Strap']"
Saint Laurent Sunset Top Handle Chain Wallet Leather,Saint Laurent,1535.0,Great,1950.0,75.0,Black,Leather,Black,Leather,"['Dust bag', 'Detachable Strap']"
Saint Laurent Sunset Wallet on Strap Leather,Saint Laurent,1240.0,Very Good,1550.0,97.5,Black,Leather,Black,Leather,"['Box', 'Dust bag missing']"
Hermes Kelly Handbag Bleu Indigo Swift with Palladium Hardware 25,Hermes,15000.0,Excellent,,320.0,Blue,Leather,Blue,Leather,"['Clochette', 'Keys', 'Lock', 'Dust bag', 'Box', 'Detachable Strap']"
Chanel Embossed Logo Bowler Bag Quilted Leather Medium,Chanel,1190.0,Good,1795.0,560.0,Black,Leather,Black,Leather,['No accessories']
Gucci Ophidia Handle Shoulder Bag GG Coated Canvas Mini,Gucci,1660.0,Excellent,1980.0,123.75,Brown,Canvas Coated,Pink,Microfiber,['Box']
Chloe Hudson Handbag Studded Leather Mini,,,,,,,,,,[]
Saint Laurent Le 61 Camera Bag Leather,Saint Laurent,755.0,Great,995.0,70.0,Neutral,Leather,Black,Leather,['No accessories']
Prada Elektra Shoulder Bag Studded Leather Small,Prada,860.0,Very Good,2070.0,133.0,Black,Leather,Black,"Fabric, Leather",['Detachable Strap']
Fendi Baguette Leather,Fendi,555.0,Very Good,,130.0,Black,Leather,Black,Fabric,['Dust bag']
Christian Dior Book Tote Cannage Embroidered Canvas Small,Christian Dior,4195.0,Great,,588.0,Blue,Canvas Plain,Blue,Canvas Plain,['Dust bag']
Louis Vuitton Pochette Accessoires Monogram Canvas,Louis Vuitton,965.0,Great,,63.75,Brown,Canvas (Coated),Brown,Fabric,"['Dust bag', 'Detachable Strap']"
Chanel Vintage Classic Double Flap Bag Quilted Lambskin Medium,Chanel,5500.0,Great,6500.0,195.0,Black,Leather,Red,Leather,['Authenticity card']
Chanel Vintage Full Flap Bag Quilted Lambskin Mini,,,,,,,,,,[]
Saint Laurent LouLou Shoulder Bag Matelasse Chevron Leather Toy,Saint Laurent,1415.0,Great,,103.125,Neutral,Leather,Black,Fabric,"['Dust bag', 'Detachable Strap']"
Chanel Vintage CC Stitch Flap Bag Patent Mini,Chanel,1140.0,Fair,2400.0,47.25,Black,Patent Leather,Black,Leather,['Dust bag']
Louis Vuitton Pochette Metis Monogram Empreinte Leather,Louis Vuitton,2900.0,Excellent,,240.0,Blue,Leather,Red,Fabric,['Detachable Strap']
Chanel Vintage Classic Double Flap Bag Quilted Lambskin Medium,Chanel,4795.0,Very Good,6500.0,162.5,Black,Leather,Red,Leather,['No accessories']
Saint Laurent Classic Monogram Slouchy Envelope Satchel Quilted Leather Large,Saint Laurent,2305.0,Very Good,2590.0,288.0,Black,Leather,Black,Fabric,['Dust bag']
Chanel Vintage CC Chain Flap Bag Quilted Lambskin Large,Chanel,4525.0,Very Good,,220.5,Black,Leather,"Black, Red",Leather,['Box']
Saint Laurent LouLou Shoulder Bag Matelasse Chevron Leather Toy,Saint Laurent,1275.0,Great,,103.125,Black,Leather,Black,"Fabric, Leather",['Detachable Strap']
Chanel Vintage Classic Double Flap Bag Quilted Lambskin Medium,Chanel,3750.0,Good,6500.0,150.0,Black,Leather,Red,Leather,['No accessories']
Chanel Vintage Logo Chain Shoulder Bag Caviar Medium,Chanel,1725.0,Good,,264.0,Black,Leather,Black,Fabric,['No accessories']
Gucci Padlock Chain Tote GG Coated Canvas Small,Gucci,1320.0,Great,1590.0,210.0,Brown,"Canvas (Coated), Leather",Neutral,Microfiber,"['Clochette', 'Keys']"
Chanel CC Flap Bag Quilted Hand Painted Leather Mini,Chanel,3490.0,Great,,72.0,Multicolor,Leather,Black,Fabric,"['Dust bag', 'Box', 'Authenticity card']"
Balenciaga Sharp Top Handle Bag Crocodile Embossed Leather XS,Balenciaga,1240.0,Excellent,1390.0,93.75,Blue,Leather,Black,Leather,"['Dust bag', 'Detachable Strap']"
Chanel Vintage Diana Flap Bag Quilted Lambskin Small,Chanel,3940.0,Good,,106.25,Black,Leather,Red,Leather,['No accessories']
Chanel La Pausa Classic Single Flap Bag Sequin Embellished Satin Medium,Chanel,4075.0,Excellent,8200.0,195.0,Gray,Sequins,White,Satin,"['Box', 'Authenticity card']"
Gucci Rajah Chain Tote Suede Large,Gucci,1605.0,Great,2500.0,367.5,Blue,Suede,Blue,Leather,"['Pochette', 'Dust bag']"
Prada Sidonie Chain Shoulder Bag Saffiano Leather Medium,Prada,1840.0,Excellent,2800.0,85.0,Neutral,Leather,Black,Fabric,"['Box', 'Dust bag']"
Chanel CC Daily Shopping Tote Quilted Caviar Small,,,,,,,,,,[]
Louis Vuitton XS Hobo Denim,,,,,,,,,,[]
Celine Tricolor Luggage Bag Canvas and Leather Nano,Celine,1525.0,Great,2700.0,256.0,"Black, Neutral, Orange, Multicolor","Canvas (Plain), Leather",Black,Leather,"['Dust bag', 'Detachable Strap']"
Louis Vuitton Neverfull NM Tote Limited Edition Escale Monogram Giant MM,Louis Vuitton,2830.0,Excellent,,825.0,Blue,Canvas Coated,Blue,Fabric,['Pochette']
